"","subj_idx","gender","year","rt","correct_response","correct","key_press","word","shape","condition"
"160",1,1,"2001",679,"arrowright","true","arrowright","生人","生人","matching_task"
"161",1,1,"2001",613,"arrowright","true","arrowright","自我","自我","matching_task"
"162",1,1,"2001",943,"arrowright","false","arrowleft","朋友","朋友","matching_task"
"163",1,1,"2001",796,"arrowleft","true","arrowleft","自我","生人","matching_task"
"164",1,1,"2001",896,"arrowleft","true","arrowleft","朋友","自我","matching_task"
"165",1,1,"2001",1131,"arrowleft","true","arrowleft","自我","朋友","matching_task"
"166",1,1,"2001",NA,"arrowleft","false","null","生人","朋友","matching_task"
"167",1,1,"2001",684,"arrowleft","true","arrowleft","朋友","生人","matching_task"
"168",1,1,"2001",821,"arrowright","true","arrowright","自我","自我","matching_task"
"169",1,1,"2001",896,"arrowright","true","arrowright","生人","生人","matching_task"
"170",1,1,"2001",896,"arrowright","true","arrowright","生人","生人","matching_task"
"171",1,1,"2001",653,"arrowleft","true","arrowleft","生人","自我","matching_task"
"172",1,1,"2001",698,"arrowleft","true","arrowleft","自我","生人","matching_task"
"173",1,1,"2001",597,"arrowright","true","arrowright","自我","自我","matching_task"
"174",1,1,"2001",914,"arrowleft","true","arrowleft","自我","朋友","matching_task"
"175",1,1,"2001",805,"arrowleft","true","arrowleft","朋友","自我","matching_task"
"176",1,1,"2001",527,"arrowleft","true","arrowleft","生人","朋友","matching_task"
"177",1,1,"2001",698,"arrowleft","true","arrowleft","朋友","生人","matching_task"
"178",1,1,"2001",1173,"arrowright","true","arrowright","朋友","朋友","matching_task"
"179",1,1,"2001",663,"arrowright","true","arrowright","自我","自我","matching_task"
"180",1,1,"2001",849,"arrowright","false","arrowleft","朋友","朋友","matching_task"
"181",1,1,"2001",1245,"arrowright","true","arrowright","生人","生人","matching_task"
"182",1,1,"2001",722,"arrowright","true","arrowright","生人","生人","matching_task"
"183",1,1,"2001",653,"arrowleft","false","arrowright","自我","朋友","matching_task"
"184",1,1,"2001",915,"arrowleft","true","arrowleft","生人","朋友","matching_task"
"185",1,1,"2001",646,"arrowright","true","arrowright","自我","自我","matching_task"
"186",1,1,"2001",710,"arrowleft","true","arrowleft","自我","生人","matching_task"
"187",1,1,"2001",974,"arrowright","true","arrowright","朋友","朋友","matching_task"
"188",1,1,"2001",685,"arrowright","true","arrowright","自我","自我","matching_task"
"189",1,1,"2001",666,"arrowleft","true","arrowleft","朋友","生人","matching_task"
"190",1,1,"2001",731,"arrowleft","true","arrowleft","生人","自我","matching_task"
"191",1,1,"2001",777,"arrowright","true","arrowright","朋友","朋友","matching_task"
"192",1,1,"2001",581,"arrowleft","false","arrowright","朋友","自我","matching_task"
"193",1,1,"2001",1288,"arrowright","true","arrowright","自我","自我","matching_task"
"194",1,1,"2001",706,"arrowright","true","arrowright","自我","自我","matching_task"
"195",1,1,"2001",995,"arrowright","true","arrowright","生人","生人","matching_task"
"196",1,1,"2001",545,"arrowright","true","arrowright","生人","生人","matching_task"
"197",1,1,"2001",743,"arrowleft","true","arrowleft","生人","朋友","matching_task"
"198",1,1,"2001",869,"arrowright","true","arrowright","朋友","朋友","matching_task"
"199",1,1,"2001",783,"arrowleft","true","arrowleft","生人","自我","matching_task"
"200",1,1,"2001",811,"arrowleft","true","arrowleft","朋友","生人","matching_task"
"201",1,1,"2001",931,"arrowleft","true","arrowleft","朋友","自我","matching_task"
"202",1,1,"2001",803,"arrowleft","true","arrowleft","自我","生人","matching_task"
"203",1,1,"2001",864,"arrowright","true","arrowright","朋友","朋友","matching_task"
"204",1,1,"2001",655,"arrowleft","true","arrowleft","自我","朋友","matching_task"
"205",1,1,"2001",923,"arrowleft","true","arrowleft","生人","朋友","matching_task"
"206",1,1,"2001",747,"arrowleft","true","arrowleft","生人","自我","matching_task"
"207",1,1,"2001",944,"arrowright","true","arrowright","生人","生人","matching_task"
"208",1,1,"2001",920,"arrowleft","true","arrowleft","朋友","生人","matching_task"
"209",1,1,"2001",806,"arrowright","false","arrowleft","自我","自我","matching_task"
"210",1,1,"2001",963,"arrowright","true","arrowright","生人","生人","matching_task"
"211",1,1,"2001",693,"arrowleft","true","arrowleft","自我","朋友","matching_task"
"212",1,1,"2001",1006,"arrowleft","true","arrowleft","自我","生人","matching_task"
"213",1,1,"2001",1130,"arrowright","true","arrowright","朋友","朋友","matching_task"
"214",1,1,"2001",1059,"arrowright","true","arrowright","朋友","朋友","matching_task"
"215",1,1,"2001",697,"arrowright","true","arrowright","自我","自我","matching_task"
"216",1,1,"2001",978,"arrowleft","true","arrowleft","朋友","自我","matching_task"
"217",1,1,"2001",784,"arrowleft","true","arrowleft","生人","朋友","matching_task"
"218",1,1,"2001",581,"arrowright","true","arrowright","自我","自我","matching_task"
"219",1,1,"2001",1020,"arrowleft","true","arrowleft","朋友","自我","matching_task"
"220",1,1,"2001",623,"arrowright","false","arrowleft","朋友","朋友","matching_task"
"221",1,1,"2001",761,"arrowright","true","arrowright","生人","生人","matching_task"
"222",1,1,"2001",864,"arrowleft","true","arrowleft","朋友","生人","matching_task"
"223",1,1,"2001",641,"arrowleft","true","arrowleft","生人","自我","matching_task"
"224",1,1,"2001",763,"arrowright","true","arrowright","生人","生人","matching_task"
"225",1,1,"2001",745,"arrowright","true","arrowright","朋友","朋友","matching_task"
"226",1,1,"2001",638,"arrowleft","true","arrowleft","自我","生人","matching_task"
"227",1,1,"2001",696,"arrowleft","true","arrowleft","自我","朋友","matching_task"
"228",1,1,"2001",1288,"arrowright","false","arrowleft","自我","自我","matching_task"
"229",1,1,"2001",1121,"arrowleft","true","arrowleft","生人","朋友","matching_task"
"230",1,1,"2001",945,"arrowright","true","arrowright","朋友","朋友","matching_task"
"231",1,1,"2001",788,"arrowright","false","arrowleft","生人","生人","matching_task"
"232",1,1,"2001",497,"arrowright","true","arrowright","自我","自我","matching_task"
"233",1,1,"2001",620,"arrowleft","true","arrowleft","生人","自我","matching_task"
"234",1,1,"2001",708,"arrowleft","true","arrowleft","朋友","自我","matching_task"
"235",1,1,"2001",767,"arrowright","true","arrowright","生人","生人","matching_task"
"236",1,1,"2001",624,"arrowright","true","arrowright","自我","自我","matching_task"
"237",1,1,"2001",585,"arrowright","true","arrowright","朋友","朋友","matching_task"
"238",1,1,"2001",841,"arrowleft","true","arrowleft","自我","生人","matching_task"
"239",1,1,"2001",598,"arrowleft","false","arrowright","自我","朋友","matching_task"
"240",1,1,"2001",814,"arrowleft","true","arrowleft","朋友","生人","matching_task"
"241",1,1,"2001",931,"arrowleft","true","arrowleft","朋友","自我","matching_task"
"242",1,1,"2001",738,"arrowleft","true","arrowleft","自我","生人","matching_task"
"243",1,1,"2001",734,"arrowright","true","arrowright","自我","自我","matching_task"
"244",1,1,"2001",695,"arrowright","false","arrowleft","生人","生人","matching_task"
"245",1,1,"2001",599,"arrowleft","false","arrowright","生人","自我","matching_task"
"246",1,1,"2001",692,"arrowleft","true","arrowleft","朋友","生人","matching_task"
"247",1,1,"2001",1431,"arrowright","false","arrowleft","朋友","朋友","matching_task"
"248",1,1,"2001",778,"arrowleft","true","arrowleft","自我","朋友","matching_task"
"249",1,1,"2001",579,"arrowright","true","arrowright","自我","自我","matching_task"
"250",1,1,"2001",564,"arrowleft","true","arrowleft","生人","朋友","matching_task"
"251",1,1,"2001",731,"arrowright","true","arrowright","朋友","朋友","matching_task"
"252",1,1,"2001",764,"arrowright","true","arrowright","生人","生人","matching_task"
"253",1,1,"2001",699,"arrowleft","true","arrowleft","自我","生人","matching_task"
"254",1,1,"2001",888,"arrowleft","true","arrowleft","朋友","自我","matching_task"
"255",1,1,"2001",784,"arrowright","false","arrowleft","生人","生人","matching_task"
"256",1,1,"2001",585,"arrowright","true","arrowright","自我","自我","matching_task"
"257",1,1,"2001",969,"arrowleft","true","arrowleft","生人","朋友","matching_task"
"258",1,1,"2001",870,"arrowleft","false","arrowright","自我","朋友","matching_task"
"259",1,1,"2001",640,"arrowright","false","arrowleft","生人","生人","matching_task"
"260",1,1,"2001",884,"arrowright","true","arrowright","朋友","朋友","matching_task"
"261",1,1,"2001",635,"arrowright","true","arrowright","自我","自我","matching_task"
"262",1,1,"2001",707,"arrowleft","true","arrowleft","朋友","生人","matching_task"
"263",1,1,"2001",735,"arrowright","true","arrowright","朋友","朋友","matching_task"
"264",1,1,"2001",792,"arrowleft","true","arrowleft","生人","自我","matching_task"
"265",1,1,"2001",679,"arrowleft","true","arrowleft","朋友","生人","matching_task"
"266",1,1,"2001",852,"arrowleft","true","arrowleft","自我","朋友","matching_task"
"267",1,1,"2001",774,"arrowleft","true","arrowleft","生人","朋友","matching_task"
"268",1,1,"2001",652,"arrowleft","false","arrowright","朋友","自我","matching_task"
"269",1,1,"2001",608,"arrowright","true","arrowright","自我","自我","matching_task"
"270",1,1,"2001",665,"arrowright","false","arrowleft","朋友","朋友","matching_task"
"271",1,1,"2001",674,"arrowleft","true","arrowleft","生人","自我","matching_task"
"272",1,1,"2001",701,"arrowright","true","arrowright","自我","自我","matching_task"
"273",1,1,"2001",965,"arrowright","true","arrowright","生人","生人","matching_task"
"274",1,1,"2001",754,"arrowright","true","arrowright","朋友","朋友","matching_task"
"275",1,1,"2001",629,"arrowleft","true","arrowleft","自我","生人","matching_task"
"276",1,1,"2001",654,"arrowright","true","arrowright","生人","生人","matching_task"
"277",1,1,"2001",787,"arrowright","true","arrowright","生人","生人","matching_task"
"278",1,1,"2001",551,"arrowright","true","arrowright","生人","生人","matching_task"
"279",1,1,"2001",694,"arrowright","true","arrowright","自我","自我","matching_task"
"280",1,1,"2001",1054,"arrowleft","true","arrowleft","自我","生人","matching_task"
"281",1,1,"2001",775,"arrowright","true","arrowright","朋友","朋友","matching_task"
"282",1,1,"2001",793,"arrowleft","true","arrowleft","生人","自我","matching_task"
"283",1,1,"2001",1029,"arrowleft","false","arrowright","生人","朋友","matching_task"
